2520	3360
-0.5000	410	803	926	1605	1853	2364
-0.5000	20	587	1181	1595	1903	2381
-0.5000	103	697	1156	1348	1936	2491
0.5000	376	742	904	1492	1867	2149
0.5000	194	495	1225	1523	1985	2377
-0.5000	132	504	950	1453	2070	2135
0.5000	365	430	1219	1374	1954	2325
0.5000	278	506	990	1264	1780	2269
0.5000	254	457	868	1534	1755	2118
-0.5000	16	676	969	1433	1966	2499
0.5000	32	478	887	1438	2080	2227
-0.5000	128	613	1252	1328	2061	2132
0.5000	18	693	965	1570	2017	2334
-0.5000	218	621	1005	1448	1957	2219
0.5000	341	783	1183	1554	1963	2151
-0.5000	317	625	954	1628	1778	2152
-0.5000	38	677	925	1276	1750	2298
0.5000	279	819	968	1621	1977	2385
-0.5000	150	592	1246	1331	1936	2333
-0.5000	255	421	902	1401	1977	2297
0.5000	107	668	1060	1300	1703	2327
-0.5000	147	544	1186	1475	1985	2396
0.5000	164	707	1053	1350	1697	2168
0.5000	144	797	967	1392	1878	2450
0.5000	102	813	983	1563	1837	2144
-0.5000	269	586	1045	1420	1943	2141
-0.5000	53	640	973	1391	1775	2493
0.5000	61	694	947	1341	1936	2339
-0.5000	43	762	868	1344	1735	2305
0.5000	185	814	1010	1363	2064	2321
-0.5000	158	763	1136	1414	1933	2495
0.5000	372	686	954	1353	2053	2365
-0.5000	75	704	1103	1487	1941	2396
0.5000	341	525	1077	1388	2082	2329
0.5000	361	746	1218	1595	2090	2338
-0.5000	384	792	885	1603	2022	2386
-0.5000	223	777	1047	1269	2000	2357
0.5000	187	536	907	1584	2051	2439
-0.5000	137	776	923	1533	1685	2416
0.5000	199	567	879	1433	2043	2516
-0.5000	350	695	983	1619	2047	2440
-0.5000	79	798	1030	1362	1844	2101
-0.5000	389	775	1192	1295	1767	2107
0.5000	277	507	855	1358	2055	2497
-0.5000	319	800	1088	1531	1974	2498
0.5000	346	675	1136	1567	1709	2260
-0.5000	93	834	1073	1432	1983	2457
0.5000	306	792	995	1518	1796	2101
-0.5000	230	439	980	1365	1780	2483
0.5000	394	665	1018	1597	1827	2418
-0.5000	273	743	1082	1609	1866	2369
0.5000	230	521	1205	1290	1820	2248
-0.5000	140	653	875	1523	2000	2177
-0.5000	54	440	1117	1442	2069	2285
-0.5000	301	616	917	1611	1703	2392
-0.5000	317	555	1174	1473	1819	2355
0.5000	66	427	1083	1280	2020	2225
-0.5000	369	577	863	1466	1976	2506
0.5000	40	465	1052	1323	2000	2418
-0.5000	172	742	1237	1622	1837	2517
-0.5000	1	445	1151	1286	1993	2154
0.5000	182	509	943	1283	1868	2228
0.5000	391	471	955	1659	1764	2154
-0.5000	295	765	894	1629	1856	2231
0.5000	116	745	1146	1560	1819	2363
0.5000	45	709	900	1337	1700	2455
0.5000	124	503	862	1371	1989	2228
0.5000	118	652	1056	1377	2018	2170
-0.5000	246	737	1096	1291	1887	2364
-0.5000	21	466	1061	1418	1994	2483
0.5000	325	747	1089	1422	1878	2289
-0.5000	344	743	1066	1480	1918	2223
0.5000	317	484	973	1651	1729	2307
0.5000	286	594	897	1346	1688	2141
0.5000	254	601	918	1626	2054	2392
0.5000	402	791	1175	1392	1730	2189
-0.5000	97	776	1060	1679	1757	2125
-0.5000	320	796	867	1550	2078	2509
-0.5000	33	452	841	1348	1971	2335
0.5000	306	784	1062	1599	1909	2100
0.5000	21	530	1024	1365	2048	2120
0.5000	177	484	928	1660	1867	2223
0.5000	255	727	1175	1665	2059	2301
-0.5000	140	706	1076	1333	1767	2330
0.5000	167	527	959	1474	1753	2313
-0.5000	215	752	934	1366	1887	2501
0.5000	279	764	1076	1351	1788	2211
0.5000	214	648	976	1347	1758	2423
-0.5000	330	646	890	1298	1698	2213
-0.5000	293	638	1252	1321	1917	2282
0.5000	350	817	1089	1314	1848	2459
-0.5000	124	464	1247	1475	2087	2185
-0.5000	226	450	1025	1541	1909	2235
-0.5000	217	633	1153	1464	2087	2434
0.5000	322	605	1007	1458	1811	2406
-0.5000	196	583	916	1545	1872	2268
-0.5000	49	464	1006	1349	1946	2154
-0.5000	115	581	1162	1436	1768	2149
-0.5000	372	549	981	1589	1987	2302
-0.5000	373	654	907	1606	2015	2433
0.5000	341	805	1121	1580	1762	2482
0.5000	316	821	1141	1469	1930	2293
0.5000	172	474	1213	1387	2003	2144
-0.5000	230	622	842	1376	2024	2397
-0.5000	4	818	1036	1396	2097	2118
0.5000	389	656	1054	1318	2065	2483
0.5000	338	597	1111	1488	2062	2457
-0.5000	99	445	1161	1573	1885	2314
0.5000	124	741	1247	1493	1759	2287
-0.5000	404	655	969	1526	1772	2124
-0.5000	259	681	859	1555	1979	2373
-0.5000	15	787	1050	1386	1935	2314
-0.5000	367	805	934	1514	1984	2196
-0.5000	324	541	971	1489	1759	2106
0.5000	258	443	1232	1364	1930	2266
0.5000	157	564	1053	1355	1797	2316
0.5000	385	540	1233	1292	1841	2179
0.5000	33	829	1060	1626	2092	2498
-0.5000	387	556	1002	1339	1864	2343
-0.5000	360	762	889	1551	2066	2450
0.5000	418	519	1018	1447	1875	2197
-0.5000	107	506	1001	1633	1699	2231
0.5000	206	749	1006	1398	1716	2164
-0.5000	23	429	861	1614	1796	2308
-0.5000	402	732	1017	1343	1809	2227
-0.5000	365	748	964	1667	1783	2222
-0.5000	159	704	1000	1542	2097	2433
0.5000	196	458	1258	1459	2042	2386
0.5000	116	716	1250	1341	1716	2157
0.5000	256	583	864	1287	2071	2348
-0.5000	419	658	1223	1482	1751	2361
0.5000	76	451	887	1297	1800	2171
0.5000	133	767	930	1499	1698	2181
0.5000	334	479	857	1335	2092	2348
-0.5000	150	827	1147	1297	1774	2515
-0.5000	123	766	901	1349	1947	2444
-0.5000	192	718	1255	1316	2004	2181
-0.5000	270	652	1243	1489	2029	2343
-0.5000	93	494	895	1611	1752	2264
0.5000	78	732	1044	1367	1858	2383
-0.5000	76	572	901	1374	2094	2506
0.5000	386	770	1110	1392	1882	2484
0.5000	362	503	1086	1496	2037	2337
-0.5000	328	510	1004	1453	1836	2270
-0.5000	128	441	962	1334	1818	2489
-0.5000	154	731	938	1274	1742	2354
-0.5000	212	600	1094	1601	1744	2395
-0.5000	222	542	1022	1604	1961	2169
-0.5000	146	528	1115	1381	1941	2166
0.5000	405	641	1091	1397	1824	2409
-0.5000	9	478	908	1618	1943	2107
-0.5000	290	584	874	1385	1722	2505
0.5000	387	776	1100	1477	2070	2500
-0.5000	303	615	1121	1588	1938	2299
-0.5000	153	810	1116	1632	1896	2146
0.5000	267	719	1179	1583	1825	2121
-0.5000	220	597	979	1395	1907	2106
-0.5000	233	548	983	1544	1983	2264
0.5000	49	488	1052	1547	1702	2145
-0.5000	286	642	907	1370	1737	2111
0.5000	178	821	1069	1374	1902	2159
-0.5000	303	625	1063	1533	1947	2346
0.5000	88	822	996	1311	1696	2343
0.5000	154	477	1155	1268	2008	2319
0.5000	90	674	1129	1535	1847	2501
0.5000	395	673	1090	1432	1849	2224
0.5000	170	495	1170	1573	2019	2111
0.5000	183	809	1167	1346	1897	2428
