2520	4200
0.5000	544	1653	1977
0.5000	469	1052	2223
0.5000	500	1617	1809
0.5000	292	1035	2321
0.5000	725	1103	2057
-0.5000	293	1093	2394
-0.5000	99	1068	2152
0.5000	346	1203	2346
0.5000	343	1576	2228
0.5000	131	871	2436
0.5000	375	1199	1883
0.5000	251	1535	2360
-0.5000	218	877	1685
-0.5000	196	1095	2343
0.5000	189	1496	1736
0.5000	728	1531	2246
-0.5000	254	1278	2272
0.5000	830	949	2025
-0.5000	502	1572	2078
-0.5000	257	904	2245
0.5000	242	1350	2230
-0.5000	356	1574	2035
-0.5000	15	1565	1933
0.5000	697	884	1723
0.5000	340	1627	2365
-0.5000	498	1252	1909
0.5000	807	983	1694
0.5000	629	1592	2310
0.5000	441	1456	2470
-0.5000	277	1071	2305
0.5000	207	1216	2387
0.5000	539	912	2313
0.5000	369	1347	2350
0.5000	309	1438	2429
0.5000	266	1251	1903
-0.5000	240	1168	2304
-0.5000	342	968	2432
0.5000	97	1023	2307
0.5000	485	1226	2098
-0.5000	592	1222	2240
-0.5000	372	869	2348
-0.5000	6	1530	2134
0.5000	140	1520	1702
-0.5000	525	1191	2164
0.5000	233	1632	1852
0.5000	296	1590	2463
-0.5000	759	1212	1715
-0.5000	1	1349	2376
0.5000	118	851	1895
0.5000	270	1511	2020
-0.5000	763	1398	2498
-0.5000	548	1301	1963
-0.5000	402	1107	1894
-0.5000	442	1190	1745
-0.5000	809	1031	1724
0.5000	808	1370	2334
-0.5000	143	1048	1893
-0.5000	449	1480	2359
-0.5000	129	1655	2486
0.5000	404	1477	2120
-0.5000	792	1246	1699
0.5000	194	1055	1906
0.5000	209	934	2147
0.5000	93	1353	2081
-0.5000	114	1642	2007
-0.5000	176	1327	1737
-0.5000	41	910	1949
-0.5000	600	1083	1967
-0.5000	223	1197	2122
0.5000	833	1579	2273
-0.5000	254	967	2171
0.5000	763	893	1732
0.5000	176	1497	2275
-0.5000	77	1086	2283
0.5000	227	1440	2030
0.5000	378	1529	2507
0.5000	275	865	2110
-0.5000	601	1334	1894
-0.5000	579	1161	1731
-0.5000	606	1584	2011
0.5000	548	1328	2217
0.5000	304	1302	1935
0.5000	566	1599	1966
-0.5000	371	1146	2483
-0.5000	235	897	2447
-0.5000	357	1152	2424
0.5000	481	1142	2328
0.5000	636	1421	2477
-0.5000	839	1551	2072
-0.5000	486	1044	2404
-0.5000	431	984	2251
0.5000	324	1584	2212
-0.5000	343	1266	1982
-0.5000	656	1273	1863
0.5000	288	971	2407
