2520	2880
0.5000	122	657	837	1291	1626	2124	2319
0.5000	212	569	917	1088	1491	2154	2223
-0.5000	233	477	814	1272	1510	2021	2300
-0.5000	328	671	912	1242	1703	1865	2235
0.5000	60	695	842	1338	1599	2062	2433
-0.5000	171	451	1045	1408	1658	1830	2242
0.5000	329	653	824	1265	1720	1870	2344
0.5000	302	623	968	1292	1673	2101	2260
0.5000	287	573	921	1354	1577	1855	2485
0.5000	224	432	744	1338	1480	2049	2447
-0.5000	339	427	1049	1357	1652	1809	2326
0.5000	355	554	724	1344	1616	2135	2240
-0.5000	202	447	1072	1380	1739	2073	2293
0.5000	90	692	959	1266	1661	1940	2224
0.5000	187	463	964	1296	1639	1988	2181
0.5000	286	646	761	1112	1737	1936	2197
-0.5000	287	655	907	1293	1622	2157	2492
0.5000	83	491	921	1322	1604	1898	2451
-0.5000	83	630	920	1181	1598	2052	2463
0.5000	306	457	1042	1239	1554	1893	2256
0.5000	345	581	1049	1352	1672	1839	2326
-0.5000	71	401	905	1277	1528	2036	2302
0.5000	85	495	886	1311	1597	2062	2451
0.5000	327	648	1042	1115	1441	2053	2296
0.5000	348	365	737	1229	1797	2072	2431
0.5000	82	666	967	1203	1606	1879	2256
-0.5000	187	376	883	1403	1795	2028	2482
0.5000	236	592	1008	1299	1706	1847	2271
-0.5000	30	588	983	1335	1519	2063	2330
0.5000	220	487	980	1407	1635	1896	2486
-0.5000	308	442	984	1231	1522	2075	2287
-0.5000	31	661	766	1150	1650	1987	2368
-0.5000	262	440	722	1201	1448	2137	2292
-0.5000	313	650	778	1270	1796	1827	2263
-0.5000	133	464	794	1416	1548	2106	2367
-0.5000	228	577	1017	1272	1470	1960	2333
-0.5000	24	425	992	1410	1702	1957	2229
-0.5000	260	632	1018	1364	1792	1803	2392
0.5000	316	473	943	1126	1576	1876	2442
0.5000	308	664	1007	1367	1694	1862	2314
0.5000	50	405	951	1130	1743	2026	2183
0.5000	346	392	1051	1140	1535	2003	2487
0.5000	157	515	744	1341	1684	1827	2471
0.5000	58	374	974	1092	1703	1962	2357
0.5000	95	613	745	1178	1518	2150	2480
0.5000	351	414	1035	1100	1583	1808	2174
-0.5000	144	560	1077	1152	1777	1816	2487
-0.5000	22	633	878	1312	1461	2104	2278
0.5000	141	493	722	1361	1607	1821	2241
-0.5000	297	589	844	1320	1733	2094	2208
-0.5000	180	386	1032	1407	1538	2036	2500
-0.5000	16	438	737	1327	1597	2133	2318
0.5000	319	486	738	1423	1690	2105	2372
-0.5000	76	506	910	1207	1675	1878	2426
-0.5000	95	693	809	1219	1738	1852	2245
-0.5000	209	435	990	1161	1568	1805	2216
0.5000	159	607	1033	1206	1695	1906	2414
-0.5000	204	536	931	1157	1713	2048	2446
-0.5000	72	530	991	1324	1634	1803	2500
0.5000	160	395	1044	1182	1463	1949	2475
-0.5000	200	447	830	1430	1538	2032	2335
0.5000	320	665	1059	1436	1740	2129	2378
-0.5000	126	464	932	1126	1679	1838	2349
-0.5000	185	532	959	1112	1603	2068	2410
-0.5000	232	711	800	1208	1576	2005	2476
-0.5000	125	530	772	1190	1675	2011	2480
-0.5000	183	395	921	1394	1722	1968	2295
-0.5000	213	435	792	1368	1625	2128	2476
-0.5000	342	570	822	1167	1477	1851	2185
-0.5000	121	651	1013	1162	1549	1952	2402
-0.5000	202	369	1053	1126	1581	2111	2190
0.5000	5	496	758	1347	1725	1806	2286
-0.5000	326	632	789	1090	1668	2110	2401
-0.5000	4	442	756	1396	1691	2099	2196
-0.5000	164	687	952	1248	1687	2079	2485
-0.5000	191	369	985	1265	1562	1903	2167
-0.5000	93	385	938	1426	1520	2041	2454
-0.5000	123	468	845	1173	1457	1882	2225
-0.5000	203	680	834	1089	1591	1951	2182
-0.5000	245	523	952	1307	1475	1892	2252
-0.5000	126	649	1004	1153	1576	1990	2362
0.5000	228	505	851	1438	1526	1863	2494
