2520	4410
0.5000	481	1000	1405	2205
0.5000	447	643	1316	2127
-0.5000	498	1167	1731	2067
0.5000	533	1207	1865	2331
0.5000	90	643	1286	1939
-0.5000	59	1211	1763	2507
0.5000	332	919	1811	2234
-0.5000	250	1029	1374	2240
0.5000	162	1227	1270	2051
-0.5000	403	934	1527	2457
0.5000	15	909	1490	2388
0.5000	569	731	1810	2357
-0.5000	296	764	1773	2368
0.5000	197	1005	1801	2382
-0.5000	271	1175	1351	2399
0.5000	44	897	1402	2117
-0.5000	569	637	1778	2292
0.5000	311	933	1385	2452
-0.5000	92	1028	1712	2216
-0.5000	543	1111	1282	2168
0.5000	39	949	1467	2118
0.5000	360	838	1788	1992
0.5000	617	986	1816	2410
0.5000	288	822	1632	2330
0.5000	446	985	1548	2201
-0.5000	230	743	1550	2320
0.5000	194	688	1749	2076
-0.5000	185	869	1755	2147
-0.5000	437	914	1869	2129
0.5000	584	990	1456	2493
-0.5000	215	1078	1793	2109
-0.5000	70	1203	1570	2427
-0.5000	419	1090	1275	2295
-0.5000	561	662	1622	2256
-0.5000	39	1115	1611	2462
-0.5000	531	1075	1777	2229
0.5000	489	756	1833	1990
0.5000	298	719	1747	2509
-0.5000	36	1119	1399	2473
0.5000	468	891	1646	2331
0.5000	440	1035	1835	2291
0.5000	216	910	1849	2159
-0.5000	226	640	1304	2207
0.5000	328	646	1284	2261
-0.5000	445	1176	1515	2197
-0.5000	599	892	1415	2089
0.5000	308	783	1417	2051
0.5000	529	1189	1297	2064
-0.5000	330	907	1487	2212
0.5000	7	913	1429	2074
-0.5000	310	814	1299	1895
-0.5000	455	915	1862	1946
-0.5000	516	903	1572	1958
0.5000	147	887	1711	2180
-0.5000	210	1092	1778	2003
0.5000	488	1004	1753	1997
0.5000	200	1123	1560	2267
-0.5000	429	1155	1638	2478
-0.5000	445	802	1536	2171
0.5000	556	1237	1370	2196
-0.5000	498	751	1455	2025
0.5000	134	1189	1485	2075
-0.5000	209	799	1367	2206
-0.5000	420	803	1305	2363
-0.5000	84	834	1606	2164
-0.5000	479	1180	1655	2264
-0.5000	418	1068	1395	2436
-0.5000	385	710	1814	2079
-0.5000	579	759	1495	2354
0.5000	607	678	1717	2406
-0.5000	344	882	1704	2326
-0.5000	288	1084	1731	2443
-0.5000	173	905	1366	1958
-0.5000	395	926	1332	2309
0.5000	546	1167	1888	1907
-0.5000	88	1255	1279	2378
-0.5000	120	1024	1784	2516
0.5000	614	1104	1262	2489
0.5000	165	1075	1744	2162
-0.5000	559	1064	1793	2082
0.5000	199	806	1756	2346
-0.5000	240	883	1510	2291
0.5000	227	749	1841	2060
0.5000	593	895	1386	2329
-0.5000	83	1163	1841	2246
0.5000	541	1201	1444	2516
0.5000	42	727	1649	2358
-0.5000	398	691	1465	2308
0.5000	109	883	1524	2145
-0.5000	579	1245	1643	2028
-0.5000	595	843	1272	2346
0.5000	175	1250	1830	2163
-0.5000	136	898	1762	2487
-0.5000	153	1055	1416	1982
-0.5000	545	1027	1694	2512
0.5000	572	702	1773	2029
-0.5000	537	1228	1887	2106
0.5000	153	898	1881	2170
-0.5000	20	979	1344	2095
-0.5000	603	942	1820	2233
-0.5000	181	961	1487	2513
-0.5000	12	1170	1347	2290
0.5000	556	848	1524	2236
0.5000	42	716	1509	2495
0.5000	92	974	1314	2207
-0.5000	299	746	1328	2460
-0.5000	545	1068	1482	1933
-0.5000	40	1228	1819	2407
0.5000	48	955	1272	2070
-0.5000	157	880	1770	2500
-0.5000	335	896	1737	2338
0.5000	231	1108	1708	2047
0.5000	452	1227	1274	1920
0.5000	530	819	1675	1914
0.5000	437	818	1297	1972
-0.5000	560	1063	1876	2151
-0.5000	555	1148	1499	1962
0.5000	327	788	1476	1993
-0.5000	34	1164	1690	2061
0.5000	371	1037	1470	2270
-0.5000	350	1102	1502	2334
0.5000	262	1214	1515	2057
-0.5000	572	712	1521	1996
-0.5000	287	630	1768	2190
-0.5000	549	1045	1782	2161
-0.5000	392	1013	1302	2097
-0.5000	31	1178	1506	2075
0.5000	345	863	1650	2508
0.5000	198	741	1492	2319
-0.5000	0	1239	1808	2224
-0.5000	171	951	1648	2490
-0.5000	182	889	1512	2303
-0.5000	531	728	1831	2008
-0.5000	451	799	1665	2253
0.5000	538	1116	1342	2090
-0.5000	578	1071	1372	2275
-0.5000	409	1158	1731	2167
0.5000	115	822	1870	2323
-0.5000	81	1066	1311	2482
0.5000	439	799	1626	2392
0.5000	322	1248	1346	1937
-0.5000	301	789	1809	1898
-0.5000	329	1231	1589	2492
0.5000	163	1199	1772	2033
-0.5000	558	1073	1886	2444
-0.5000	155	868	1683	1996
-0.5000	547	679	1826	2495
0.5000	589	1076	1421	2031
0.5000	181	1080	1586	2012
-0.5000	476	958	1449	1951
0.5000	80	707	1566	2006
-0.5000	547	741	1433	1946
-0.5000	11	1024	1878	2515
0.5000	312	759	1484	2202
-0.5000	355	746	1720	2232
-0.5000	312	977	1694	2183
-0.5000	181	1136	1615	2195
0.5000	383	939	1390	2473
0.5000	279	885	1619	2307
0.5000	614	875	1326	2167
-0.5000	297	1174	1510	2238
-0.5000	536	1121	1353	2311
0.5000	572	778	1514	2011
-0.5000	397	828	1447	2372
-0.5000	248	1158	1387	2279
-0.5000	24	919	1484	2497
0.5000	337	855	1801	2374
-0.5000	267	1144	1734	2143
-0.5000	415	1006	1507	1963
0.5000	296	835	1410	2482
-0.5000	300	743	1675	2182
0.5000	267	1240	1399	1921
-0.5000	450	977	1783	2124
0.5000	504	884	1650	2211
-0.5000	49	947	1437	1953
-0.5000	484	1133	1570	2151
0.5000	90	639	1353	2461
0.5000	398	1191	1677	2210
-0.5000	297	920	1780	1963
-0.5000	505	1179	1803	2512
-0.5000	484	704	1433	2028
0.5000	130	636	1443	1933
0.5000	13	908	1548	2243
0.5000	614	667	1888	2027
0.5000	500	978	1436	2345
0.5000	471	696	1749	2096
0.5000	459	683	1630	2315
0.5000	456	917	1852	2198
0.5000	299	1191	1630	2146
0.5000	460	721	1870	2291
-0.5000	593	1116	1457	2513
0.5000	371	730	1283	2361
0.5000	249	765	1417	2210
-0.5000	525	728	1305	2473
0.5000	417	778	1822	2067
-0.5000	315	973	1458	2456
-0.5000	177	716	1379	2401
0.5000	246	898	1626	2369
-0.5000	531	828	1660	2427
0.5000	252	836	1808	2023
0.5000	144	968	1873	2123
-0.5000	590	1041	1392	2052
0.5000	547	1203	1833	2415
0.5000	74	800	1782	2390
-0.5000	600	1257	1428	1915
0.5000	618	780	1385	2231
-0.5000	111	796	1572	2197
0.5000	561	637	1346	2475
-0.5000	466	1192	1435	2414
0.5000	598	994	1871	2486
-0.5000	5	796	1612	1996
-0.5000	197	1114	1672	2416
-0.5000	495	1155	1502	2107
0.5000	487	925	1674	2238
0.5000	78	677	1623	2226
